"Species","Type","Dead.Code","X","Y","Diam10","Height","DBH","Crown.Radius","Growth","timestep","Treatment","Unit","PlotNumber","Class","C_tree","C_unit"
"Pl","Snag","Alive",172.051,476.271,NA,16.2047481552779,15.9045,NA,NA,26,"CC","A1",29,1,0.0426531322845223,0.256818654066172
"Pl","Snag","Alive",239.065,368.757,NA,8.58836387284906,5.64248,NA,NA,9,"CC","A3",19,1,0.00372688466494263,0.00745376932988526
"Pl","Snag","Alive",242.122,363.328,NA,8.58836387284906,5.64248,NA,NA,9,"CC","A3",19,1,0.00372688466494263,0.00745376932988526
"Pl","Snag","Alive",239.065,368.757,NA,8.58836387284906,5.64248,NA,NA,10,"CC","A3",19,1,0.00372688466494263,0.00745376932988526
"Pl","Snag","Alive",242.122,363.328,NA,8.58836387284906,5.64248,NA,NA,10,"CC","A3",19,1,0.00372688466494263,0.00745376932988526
"Hw","Snag","Alive",68.3894,182.909,NA,11.2446040364007,10.1171,NA,NA,19,"CC","A3",5,1,0.0134630933052001,0.0493639165101825
"Pl","Snag","Alive",63.3173,276.256,NA,14.0645396171591,12.1987,NA,NA,19,"CC","A3",11,1,0.0232053162645081,0.0493639165101825
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,19,"CC","A3",16,1,0.0126955069404743,0.0493639165101825
"Pl","Snag","Alive",63.3173,276.256,NA,14.0645396171591,12.1987,NA,NA,20,"CC","A3",11,1,0.0232053162645081,0.0359008232049824
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,20,"CC","A3",16,1,0.0126955069404743,0.0359008232049824
"Sx","Snag","Alive",244.714,192.672,NA,9.2204899011488,8.89997,NA,NA,21,"CC","A3",7,1,0.00961432198012113,0.130123890813575
"Pl","Snag","Alive",63.3173,276.256,NA,14.0645396171591,12.1987,NA,NA,21,"CC","A3",11,1,0.0232053162645081,0.130123890813575
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,21,"CC","A3",13,1,0.0169337333372048,0.130123890813575
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,21,"CC","A3",16,1,0.0126955069404743,0.130123890813575
"Pl","Snag","Alive",150.441,375.526,NA,15.5344574352191,14.6362,NA,NA,21,"CC","A3",18,1,0.0353069338979464,0.130123890813575
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,21,"CC","A3",21,1,0.0323680783933203,0.130123890813575
"Hw","Snag","Alive",238.67,100.932,NA,11.2446040364007,11.3331,NA,NA,22,"CC","A3",1,1,0.016876740279519,0.147000631093094
"Sx","Snag","Alive",244.714,192.672,NA,9.2204899011488,8.89997,NA,NA,22,"CC","A3",7,1,0.00961432198012113,0.147000631093094
"Pl","Snag","Alive",63.3173,276.256,NA,14.0645396171591,12.1987,NA,NA,22,"CC","A3",11,1,0.0232053162645081,0.147000631093094
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,22,"CC","A3",13,1,0.0169337333372048,0.147000631093094
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,22,"CC","A3",16,1,0.0126955069404743,0.147000631093094
"Pl","Snag","Alive",150.441,375.526,NA,15.5344574352191,14.6362,NA,NA,22,"CC","A3",18,1,0.0353069338979464,0.147000631093094
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,22,"CC","A3",21,1,0.0323680783933203,0.147000631093094
"Hw","Snag","Alive",238.67,100.932,NA,11.2446040364007,11.3331,NA,NA,23,"CC","A3",1,1,0.016876740279519,0.168647103637919
"Hw","Snag","Alive",237.111,189.696,NA,11.2446040364007,12.8412,NA,NA,23,"CC","A3",7,1,0.0216464725448249,0.168647103637919
"Sx","Snag","Alive",244.714,192.672,NA,9.2204899011488,8.89997,NA,NA,23,"CC","A3",7,1,0.00961432198012113,0.168647103637919
"Pl","Snag","Alive",63.3173,276.256,NA,14.0645396171591,12.1987,NA,NA,23,"CC","A3",11,1,0.0232053162645081,0.168647103637919
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,23,"CC","A3",13,1,0.0169337333372048,0.168647103637919
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,23,"CC","A3",16,1,0.0126955069404743,0.168647103637919
"Pl","Snag","Alive",150.441,375.526,NA,15.5344574352191,14.6362,NA,NA,23,"CC","A3",18,1,0.0353069338979464,0.168647103637919
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,23,"CC","A3",21,1,0.0323680783933203,0.168647103637919
"Hw","Snag","Alive",238.67,100.932,NA,11.2446040364007,11.3331,NA,NA,24,"CC","A3",1,1,0.016876740279519,0.123795314828586
"Sx","Snag","Alive",244.714,192.672,NA,9.2204899011488,8.89997,NA,NA,24,"CC","A3",7,1,0.00961432198012113,0.123795314828586
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,24,"CC","A3",13,1,0.0169337333372048,0.123795314828586
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,24,"CC","A3",16,1,0.0126955069404743,0.123795314828586
"Pl","Snag","Alive",150.441,375.526,NA,15.5344574352191,14.6362,NA,NA,24,"CC","A3",18,1,0.0353069338979464,0.123795314828586
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,24,"CC","A3",21,1,0.0323680783933203,0.123795314828586
"Sx","Snag","Alive",244.714,192.672,NA,9.2204899011488,8.89997,NA,NA,25,"CC","A3",7,1,0.00961432198012113,0.0716116406511206
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,25,"CC","A3",13,1,0.0169337333372048,0.0716116406511206
"Hw","Snag","Alive",517.675,283.254,NA,11.2446040364007,9.82305,NA,NA,25,"CC","A3",16,1,0.0126955069404743,0.0716116406511206
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,25,"CC","A3",21,1,0.0323680783933203,0.0716116406511206
"Hw","Snag","Alive",245.33,277.173,NA,11.2446040364007,11.3523,NA,NA,26,"CC","A3",13,1,0.0169337333372048,0.0748422185013543
"Hw","Snag","Alive",419.199,371.664,NA,11.2446040364007,13.9522,NA,NA,26,"CC","A3",21,1,0.0255404067708292,0.0748422185013543
